product_id,product_name,category,price,image_url,description,size
top1,릴렉스 핏 실키 셔츠 [블랙],상의,"22,934 ~ 23,890원",https://image.msscdn.net/images/goods_img/20190315/983819/983819_1_500.jpg,https://www.musinsa.com/app/goods/983819,"['S', 'M', 'L', 'XL', '2XL']"
top2,루즈핏 오픈카라 텐셀 린넨 셔츠 [네이비],상의,"33,084 ~ 36,000원",https://image.msscdn.net/images/goods_img/20190408/1008043/1008043_16896571680021_500.jpg,https://www.musinsa.com/app/goods/1008043,"['S', 'M', 'L', 'XL']"
top3,[드로우핏X깡스타일리스트] 터틀넥 니트 티셔츠 SET,상의,"43,900원",https://image.msscdn.net/images/goods_img/20210917/2139144/2139144_17150672572797_500.jpg,https://www.musinsa.com/app/goods/2139144,"['M', 'L', 'XL', 'XXL']"
top4,(24SS) 2 TONE ARCH T-SHIRT WHITE,상의,"24,192 ~ 25,200원",https://image.msscdn.net/images/goods_img/20210312/1841764/1841764_17104689185394_500.jpg,https://www.musinsa.com/app/goods/1841764,"['S', 'M', 'L', 'XL', 'XXL', 'XS']"
top5,루즈핏 오픈카라 텐셀 린넨 셔츠 [오트밀],상의,"33,000원",https://image.msscdn.net/images/goods_img/20190408/1008039/1008039_16896571224053_500.jpg,https://www.musinsa.com/app/goods/1008039,"['S', 'M', 'L', 'XL']"
top6,에센셜 베이직 티셔츠 [OFFWHITE],상의,"22,839 ~ 29,700원",https://image.msscdn.net/images/goods_img/20170413/538279/538279_6_500.jpg,https://www.musinsa.com/app/goods/538279,"['M', 'L', 'XL', 'XXL']"
top7,[리뉴얼 ver.] 린넨 카라 하프 니트 - 9 COLOR,상의,"클리어런스 9,900원",https://image.msscdn.net/images/goods_img/20210517/1954316/1954316_17170577901582_500.jpg,https://www.musinsa.com/app/goods/1954316,"['OLIVE_M', 'OLIVE_L']"
top8,1960 sweatshirts navy,상의,"56,748 ~ 61,750원",https://image.msscdn.net/images/goods_img/20190218/956939/956939_16847191483500_500.jpg,https://www.musinsa.com/app/goods/956939,"['S', 'M', 'L', 'XL', 'XXL']"
top9,베이식 크루 넥 반팔 티셔츠 2팩,상의,"23,990 ~ 24,990원",https://image.msscdn.net/images/goods_img/20210805/2050094/2050094_17138592561124_500.jpg,https://www.musinsa.com/app/goods/2050094,"['S', 'M', 'L', 'XL', '2XL', '3XL']"
top10,Fluff Mood Check shirt S24 Navy,상의,"70,303 ~ 76,500원",https://image.msscdn.net/images/goods_img/20180917/859956/859956_17194482521263_500.jpg,https://www.musinsa.com/app/goods/859956,"['S', 'M', 'L', 'XL']"
